"station","arrondissement","mm","jj","n_tot","n_AM","n_PM","n_rush","temp","precip_ind"
"Cartier / Dandurand","Rosemont - La Petite-Patrie",9,3,93,25,36,61,19.8,0
"Brittany / Ainsley","Mont-Royal",7,1,19,1,6,7,26.2,0
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",10,1,1,0,0,0,5.9,0
"Clark / de Liège","Villeray—Saint-Michel—Parc-Extension",10,6,36,1,9,10,12.5,0
"Fullum / de Rouen","Ville-Marie",8,7,87,7,18,25,20.4,0
"Métro Jarry (Lajeunesse / Jarry)","Villeray—Saint-Michel—Parc-Extension",5,6,136,6,32,38,14.3,0
"Parc du Bois-Franc (de l'Équateur / des Andes)","Saint-Laurent",9,1,4,0,1,1,15.7,0
"St-Patrick / Briand","Le Sud-Ouest",6,7,37,1,7,8,16.3,0
"Parc du Pélican (2e avenue / St-Joseph)","Rosemont - La Petite-Patrie",5,2,67,25,14,39,21.8,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",6,1,75,2,25,27,20.5,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",8,3,39,11,13,24,18.1,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",6,7,54,5,7,12,22.2,0
"Mairie d'arrondissement LaSalle (Dupras / Jeannette)","LaSalle",5,7,8,0,1,1,13.8,0
"Irwin / Allard","LaSalle",8,1,14,5,0,5,17.4,1
"Carrefour Angrignon (Angrignon / Newman)","LaSalle",5,6,28,0,9,9,14.5,0
"Aylmer / Ste-Catherine","Ville-Marie",8,7,55,0,11,11,24.7,0
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",6,3,37,10,11,21,22.3,1
"Parc Courbertin (Valéry / Perrier)","Saint-Léonard",9,1,7,1,1,2,15.3,0
"St-Patrick / Briand","Le Sud-Ouest",7,1,56,1,14,15,20.9,0
"Louis-Hémon / Rosemont","Rosemont - La Petite-Patrie",10,1,46,7,20,27,17.3,0
"Chabot / Villeray","Villeray—Saint-Michel—Parc-Extension",7,1,55,15,11,26,26.2,0
"Métro Crémazie (Crémazie / Lajeunesse)","Ahuntsic-Cartierville",6,2,97,23,22,45,23.3,0
"Union / Ste-Catherine","Ville-Marie",7,6,120,1,24,25,22.7,0
"Parc Hilda-Ramacière (de Bullion / Prince-Arthur)","Le Plateau-Mont-Royal",7,1,75,10,25,35,25.3,0
"de Chenonceau / Chomedey","Laval",8,1,1,0,0,0,18.8,0
"Léa-Roback / Sir-Georges-Etienne-Cartier","Le Sud-Ouest",10,6,112,4,56,60,12.5,0
"Ontario / Sicard","Mercier - Hochelaga-Maisonneuve",8,4,81,26,30,56,21.3,0
"Parc St-Claude (7e Avenue / 8e rue)","Laval",5,5,7,3,1,4,14.4,0
"Waverly / St-Viateur","Le Plateau-Mont-Royal",8,6,212,22,41,63,24.3,0
"de Côme / Jean-Talon","Saint-Léonard",7,4,5,0,3,3,20.2,0
"Mackay / René-Lévesque","Ville-Marie",8,4,117,19,34,53,16.8,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,3,63,4,17,21,24,0
"des Érables / Dandurand","Rosemont - La Petite-Patrie",5,7,49,6,6,12,18.3,0
"de Hampton / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",7,2,52,12,11,23,21.8,0
"Place du Village (St-Jean-Baptiste / Notre-Dame)","Rivière-des-Prairies - Pointe-aux-Trembles",10,6,3,0,2,2,7.2,0
"St-Hubert / Duluth","Le Plateau-Mont-Royal",5,3,102,25,16,41,10.2,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",10,3,3,3,0,3,16.9,0
"Michelet / Jean-Talon","Saint-Léonard",6,6,28,4,5,9,18.5,0
"St-Dominique / Bernard","Le Plateau-Mont-Royal",6,1,18,0,8,8,20.5,0
"Cartier / Dandurand","Rosemont - La Petite-Patrie",6,3,86,26,19,45,24.7,0
"de Chenonceau / Chomedey","Laval",6,1,1,0,0,0,15.2,0
"Union / Ste-Catherine","Ville-Marie",8,5,112,2,47,49,24.5,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",8,3,48,13,14,27,14.2,1
"Collège de Rosemont (Beaubien / 15e avenue)","Rosemont - La Petite-Patrie",5,2,45,4,17,21,17.3,0
"Crescent / de Maisonneuve","Ville-Marie",9,2,201,9,70,79,23.1,0
"Aylmer / Prince-Arthur","Le Plateau-Mont-Royal",9,6,276,19,51,70,21.5,0
"Gare du Ruisseau (Dutrisac / Henri-Bourassa)","Saint-Laurent",7,5,4,0,0,0,25.3,0
"27e avenue / Rosemont","Rosemont - La Petite-Patrie",8,6,38,6,7,13,21.4,0
"Saint-Rémi / Valois","Laval",9,6,1,0,0,0,15.9,1
"Louis-Hébert / Bélanger","Villeray—Saint-Michel—Parc-Extension",6,1,42,7,9,16,15.2,0
"Métro Snowdon (Circle / Queen-Mary)","Côte-des-Neiges - Notre-Dame-de-Grâce",8,2,56,6,20,26,15.5,0
"Graham / Brookfield","Mont-Royal",5,1,25,8,7,15,15.3,0
"Centre des loisirs (Tassé / Grenet)","Saint-Laurent",5,2,6,2,2,4,14.5,0
"de Grenoble / de Cassis","Laval",9,1,6,1,0,1,13.7,0
